,imdb_title_id,original_title,year,director,budget,usa_gross_income,worlwide_gross_income,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
0,tt0019649,Arsenal,1929,Aleksandr Dovzhenko,,,,7.3,1805,7.3,7,248,209,410,455,213,122,63,32,30,23
1,tt0029992,A Christmas Carol,1938,Edwin L. Marin,,,,7.5,5902,7.6,8,1020,711,1611,1359,649,307,98,55,31,61
2,tt0035443,Time to Kill,1942,Herbert I. Leeds,,,,6.6,193,6.8,7,16,12,25,61,48,19,7,2,1,2
3,tt0040603,Mom and Dad,1945,William Beaudine,"$65,000",,,5.1,135,5.4,5,9,2,12,12,27,31,16,10,11,5
4,tt0045654,Mandy,1952,Alexander Mackendrick,,,,7.4,681,7.6,8,80,87,200,185,76,24,16,5,3,5
5,tt0060882,Rage,1966,Gilberto Gazcón,,,,6.4,351,6.6,7,32,23,36,89,87,50,19,6,3,6
6,tt0062868,Deadfall,1968,Bryan Forbes,,,,5.8,743,5.9,6,44,28,60,122,189,156,68,34,19,23
7,tt0065916,Joe,1970,John G. Avildsen,"$106,000","$19,319,254","$19,319,254",6.8,2731,6.9,7,243,207,524,805,496,209,89,66,30,62
8,tt0069158,Rage,1972,George C. Scott,,,,6.3,803,6.6,6,79,34,99,188,196,121,54,18,4,10
9,tt0070917,The Wicker Man,1973,Robin Hardy,"$810,000","$60,891","$98,201",7.5,67560,7.6,8,9834,10051,19149,15020,6863,2946,1365,804,597,931
10,tt0083929,Fast Times at Ridgemont High,1982,Amy Heckerling,"$4,500,000","$27,092,880","$27,092,880",7.2,90936,7.3,7,9401,9423,21867,27211,13506,5132,1970,1000,622,804
11,tt0086216,Rumble Fish,1983,Francis Ford Coppola,"$10,000,000","$2,494,480","$2,494,480",7.2,31122,7.4,7,3729,3594,7559,8408,4264,1822,798,424,223,301
12,tt0086525,Valley Girl,1983,Martha Coolidge,"$350,000","$17,343,596","$17,343,596",6.4,12965,6.7,7,1688,928,1797,2585,2732,1651,754,356,217,257
13,tt0086969,Birdy,1984,Alan Parker,"$12,000,000","$1,455,045","$1,455,045",7.3,21084,7.4,7,2165,2484,5847,5894,2645,1021,397,237,143,251
14,tt0087089,The Cotton Club,1984,Francis Ford Coppola,"$58,000,000","$25,928,721","$25,928,721",6.5,16083,6.6,7,889,874,2496,4583,3962,1823,733,357,156,210
15,tt0087968,Racing with the Moon,1984,Richard Benjamin,"$6,500,000","$6,045,647","$6,045,647",6.7,4031,6.9,7,280,210,817,1250,900,317,118,50,19,70
16,tt0090769,The Boy in Blue,1986,Charles Jarrott,CAD 7716000,"$275,000","$275,000",5.3,1061,5.6,6,70,24,72,109,262,260,122,63,40,39
17,tt0091738,Peggy Sue Got Married,1986,Francis Ford Coppola,"$18,000,000","$41,382,841","$41,488,348",6.3,32089,6.5,6,1782,1513,4142,8354,8857,4247,1698,681,420,395
18,tt0093565,Moonstruck,1987,Norman Jewison,"$15,000,000","$80,640,528","$80,640,528",7.1,48440,7.3,7,6197,5522,10604,12777,7241,3165,1313,685,403,533
