,imdb_title_id,original_title,year,director,budget,usa_gross_income,worlwide_gross_income,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
0,tt0056355,The Bellboy and the Playgirls,1962,"Francis Ford Coppola, Fritz Umgelter",,,,3.1,163,3.7,3,11,2,3,4,9,15,28,34,30,27
1,tt0056983,Dementia 13,1963,Francis Ford Coppola,"$40,000",,,5.7,6787,5.8,6,248,142,512,1223,1960,1420,685,303,150,144
2,tt0057569,The Terror,1963,"Roger Corman, Francis Ford Coppola",,,,5,6779,5.1,5,271,80,260,694,1413,1765,1086,663,297,250
3,tt0061209,You're a Big Boy Now,1966,Francis Ford Coppola,"$800,000",,,6.1,1411,6.3,6,108,81,169,301,333,200,120,42,27,30
4,tt0062974,Finian's Rainbow,1968,Francis Ford Coppola,"$3,500,000",,,6.2,3263,6.4,6,306,243,390,643,724,426,229,126,82,94
5,tt0064873,The Rain People,1969,Francis Ford Coppola,"$750,000",,,6.8,2827,6.9,7,214,197,561,876,564,219,79,52,25,40
6,tt0068646,The Godfather,1972,Francis Ford Coppola,"$6,000,000","$134,966,411","$246,120,974",9.2,1572674,8.9,10,813223,389002,192260,76045,29201,16157,8222,6120,5790,36654
7,tt0071360,The Conversation,1974,Francis Ford Coppola,"$1,600,000","$4,420,000","$4,432,180",7.8,95597,7.8,8,14472,18490,28735,19185,7691,3123,1404,769,540,1188
8,tt0071562,The Godfather: Part II,1974,Francis Ford Coppola,"$13,000,000","$47,834,595","$48,035,783",9,1098714,8.8,9,472758,314803,170068,68732,25674,12350,6069,4261,3832,20167
9,tt0078788,Apocalypse Now,1979,Francis Ford Coppola,"$31,500,000","$83,471,511","$91,968,688",8.4,591251,8.3,9,157305,157609,140824,74008,29048,13065,6603,3950,2831,6008
10,tt0084445,One from the Heart,1981,Francis Ford Coppola,"$26,000,000","$636,796","$636,796",6.5,5265,6.6,7,531,432,785,1092,1073,596,353,177,101,125
11,tt0086066,The Outsiders,1983,Francis Ford Coppola,"$10,000,000","$25,697,647","$25,697,647",7.1,73469,7.4,7,11068,6871,15687,21041,10895,4256,1759,730,442,720
12,tt0086216,Rumble Fish,1983,Francis Ford Coppola,"$10,000,000","$2,494,480","$2,494,480",7.2,31122,7.4,7,3729,3594,7559,8408,4264,1822,798,424,223,301
13,tt0087089,The Cotton Club,1984,Francis Ford Coppola,"$58,000,000","$25,928,721","$25,928,721",6.5,16083,6.6,7,889,874,2496,4583,3962,1823,733,357,156,210
14,tt0091738,Peggy Sue Got Married,1986,Francis Ford Coppola,"$18,000,000","$41,382,841","$41,488,348",6.3,32089,6.5,6,1782,1513,4142,8354,8857,4247,1698,681,420,395
15,tt0093073,Gardens of Stone,1987,Francis Ford Coppola,,"$5,262,047","$5,262,047",6.4,5016,6.5,7,275,252,680,1330,1370,657,247,92,48,65
16,tt0096316,Tucker: The Man and His Dream,1988,Francis Ford Coppola,"$23,000,000","$19,652,638","$19,652,638",6.9,16241,7,7,932,1049,3386,5752,3286,1082,406,153,78,117
17,tt0097965,New York Stories,1989,"Woody Allen, Francis Ford Coppola","$15,000,000","$10,763,469","$10,763,469",6.4,16739,6.4,7,645,667,2256,4992,4579,2041,796,320,140,303
18,tt0099674,The Godfather: Part III,1990,Francis Ford Coppola,"$54,000,000","$66,666,062","$136,766,062",7.6,350452,7.7,8,47762,50692,105305,85582,34746,12985,5417,2857,1717,3389
19,tt0103874,Dracula,1992,Francis Ford Coppola,"$40,000,000","$82,522,790","$215,862,692",7.4,187216,7.5,8,24032,25983,51174,45575,21487,9035,4351,2295,1428,1856
20,tt0116669,Jack,1996,Francis Ford Coppola,"$45,000,000","$58,620,973","$58,620,973",5.8,55279,6,6,3329,1712,4837,10358,14377,10462,4962,2470,1280,1492
21,tt0119978,The Rainmaker,1997,Francis Ford Coppola,"$40,000,000","$45,916,769","$45,916,769",7.2,62217,7.2,7,3930,5348,15355,23386,9458,2917,936,402,179,306
22,tt0153167,Tonight for Sure,1962,Francis Ford Coppola,,,,3.1,199,3.6,3,11,3,2,10,9,17,22,52,39,34
23,tt0159097,The Virgin Suicides,1999,Sofia Coppola,"$9,000,000","$4,906,229","$10,409,377",7.2,141463,7.3,7,12648,16861,36552,40709,19495,7724,3273,1636,1020,1545
24,tt0335266,Lost in Translation,2003,Sofia Coppola,"$4,000,000","$44,585,453","$118,685,453",7.7,403588,7.7,8,68907,75472,109093,75493,35115,15836,7918,4984,3755,7015
